,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90
sample_0,0.833333333333,1.0,0.833333333333,0.833333333333,0.833333333333,1.0,0.833333333333,0.833333333333,1.0,1.0,0.666666666667,0.857142857143,0.0,1.0,1.0,1.0,1.0,0.833333333333,0.833333333333,1.0,0.333333333333,1.0,0.666666666667,1.0,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.75,0.5,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.8,1.0,0.0,0.3125,0.281690140845,0.55223880597,0.82,0.285714285714,0.4625,0.583333333333
sample_1,1.0,1.0,0.166666666667,1.0,0.833333333333,1.0,0.833333333333,1.0,0.833333333333,0.833333333333,0.833333333333,0.857142857143,0.0,0.714285714286,1.0,1.0,1.0,1.0,1.0,0.0,0.333333333333,0.666666666667,0.0,0.666666666667,0.0,0.666666666667,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.75,0.6,0.2,0.5,0.166666666667,0.5,0.4,0.333333333333,0.333333333333,0.8,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.6,1.0,1.0,0.390625,0.225352112676,0.567164179104,0.773333333333,0.408163265306,0.35,0.05
sample_2,1.0,1.0,1.0,1.0,1.0,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.857142857143,1.0,1.0,1.0,1.0,0.833333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.0,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,1.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.25,0.5,0.75,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.6,0.8,0.833333333333,0.833333333333,0.166666666667,0.0,1.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6,1.0,0.0,0.1875,0.295774647887,0.462686567164,0.8,0.122448979592,0.5375,0.666666666667
sample_3,1.0,0.666666666667,0.666666666667,1.0,0.833333333333,1.0,0.666666666667,0.833333333333,0.833333333333,0.833333333333,0.5,0.857142857143,0.0,0.857142857143,0.833333333333,1.0,1.0,0.833333333333,0.833333333333,0.666666666667,0.0,0.666666666667,0.333333333333,1.0,0.333333333333,0.333333333333,1.0,0.666666666667,0.333333333333,0.333333333333,0.333333333333,1.0,0.333333333333,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.75,0.75,0.25,1.0,1.0,0.5,0.0,1.0,0.75,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4,0.6,0.833333333333,1.0,1.0,0.8,0.833333333333,0.833333333333,0.6,1.0,0.5,0.0,1.0,1.0,0.0,0.5,0.6,1.0,1.0,0.234375,0.338028169014,0.671641791045,0.853333333333,0.336734693878,0.375,0.0666666666667
sample_4,0.833333333333,1.0,0.833333333333,1.0,0.833333333333,1.0,0.833333333333,0.833333333333,0.5,0.833333333333,0.833333333333,0.857142857143,0.0,0.571428571429,1.0,1.0,0.833333333333,0.666666666667,0.833333333333,0.666666666667,0.0,1.0,0.666666666667,0.666666666667,0.333333333333,0.333333333333,1.0,0.333333333333,0.333333333333,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.75,0.25,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0,0.75,0.75,0.75,1.0,0.5,0.5,1.0,1.0,0.2,0.2,0.333333333333,0.166666666667,0.333333333333,0.2,0.333333333333,0.166666666667,1.0,0.666666666667,0.5,1.0,0.666666666667,0.5,1.0,0.5,1.0,1.0,0.0,0.203125,0.112676056338,0.388059701493,0.793333333333,0.132653061224,0.5625,0.45
sample_5,1.0,1.0,0.333333333333,1.0,0.166666666667,0.5,1.0,1.0,0.5,0.333333333333,0.0,0.0,0.857142857143,0.142857142857,1.0,1.0,0.833333333333,0.833333333333,1.0,0.333333333333,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.25,0.5,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.25,0.2,0.6,0.5,0.666666666667,0.5,0.6,0.666666666667,0.666666666667,0.6,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.6,0.833333333333,1.0,0.34375,0.43661971831,0.522388059701,0.74,0.0816326530612,0.4125,0.383333333333
sample_6,1.0,1.0,0.666666666667,1.0,0.5,0.833333333333,0.833333333333,1.0,0.833333333333,0.833333333333,0.5,0.857142857143,0.0,0.714285714286,0.833333333333,1.0,0.833333333333,0.833333333333,0.833333333333,0.666666666667,1.0,1.0,0.666666666667,1.0,0.333333333333,1.0,1.0,1.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.75,0.5,0.25,0.75,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,1.0,1.0,0.833333333333,0.833333333333,0.833333333333,0.8,1.0,0.833333333333,0.4,1.0,0.5,1.0,0.333333333333,0.5,0.0,0.5,0.6,1.0,1.0,0.328125,0.408450704225,0.253731343284,0.84,0.234693877551,0.25,0.133333333333
sample_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857142857143,0.0,0.857142857143,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.75,0.5,0.0,0.25,0.5,0.0,0.0,0.75,0.25,0.0,0.0,0.75,0.0,0.0,0.5,0.5,0.6,0.4,0.333333333333,0.166666666667,0.333333333333,0.2,0.333333333333,0.166666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.0,0.3125,0.408450704225,0.432835820896,0.893333333333,0.387755102041,0.6125,0.55
sample_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857142857143,0.0,0.857142857143,0.833333333333,1.0,1.0,1.0,1.0,0.666666666667,0.333333333333,0.333333333333,0.0,0.333333333333,0.0,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,0.0,0.5,0.25,0.75,0.5,0.25,0.25,1.0,0.25,0.25,1.0,0.5,0.25,0.5,0.75,0.25,0.25,0.75,0.75,0.4,0.6,0.333333333333,0.5,0.5,0.6,0.5,0.5,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6,1.0,0.0,0.375,0.464788732394,0.522388059701,0.866666666667,0.34693877551,0.4375,0.75
sample_9,1.0,1.0,0.833333333333,1.0,0.833333333333,1.0,0.0,0.666666666667,1.0,1.0,0.833333333333,0.857142857143,0.0,0.857142857143,1.0,1.0,0.833333333333,1.0,0.833333333333,0.666666666667,1.0,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,1.0,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.5,0.75,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8,0.8,1.0,1.0,0.166666666667,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.8,1.0,1.0,0.21875,0.323943661972,0.388059701493,0.813333333333,0.244897959184,0.425,0.95
sample_10,1.0,1.0,0.833333333333,1.0,1.0,1.0,0.0,0.666666666667,1.0,1.0,0.833333333333,1.0,0.0,0.857142857143,1.0,1.0,0.833333333333,1.0,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,1.0,0.0,0.666666666667,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,1.0,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.8,0.8,1.0,0.833333333333,0.833333333333,0.8,0.833333333333,0.833333333333,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.0,0.4375,0.422535211268,0.597014925373,0.786666666667,0.418367346939,0.6,0.783333333333
sample_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666666666667,0.0,0.333333333333,0.0,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.0,0.666666666667,0.0,0.333333333333,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.333333333333,0.166666666667,0.5,0.4,0.333333333333,0.166666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.046875,0.154929577465,0.0298507462687,0.893333333333,0.336734693878,0.75,0.483333333333
